Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C21, C22, C26, C34, C36, C39",0402,7,0.1uf,
"C10, C6, C7, C9",0402,4,4.7u,
"C11, C12, C13, C14, C15, C16, C17, C18, C2, C24, C8",0402,11,100n,
C19,0805,1,10u,
C20,0805,1,10nf,
"C23, C25, C30, C31",0402,4,1uf,
"C27, C33, C35, C37, C38, C5",0402,6,10uf,
"C3, C4",0402,2,15p,
D1,0603,1,LED,
"GND1, V_SUPPLY1",PinHeader_1x05_P2.54mm_Vertical,2,Conn_01x05_Pin,
"J1, J2",PinSocket_1x05_P2.54mm_Vertical,2,Conn_01x08_Socket,
J5,HRO-TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_14P,
L1,L_pol_2016,1,AOTA-B201610S3R3-101-T,
"R10, R12, R15, R16",0402,4,100k,
"R11, R3",0603,2,5.1k,
"R13, R17, R2, R4, R6, R9",0402,6,1k,
"R14, R24, R25",0402,3,10k,
"R19, R20, R21, R22, R23, R5",0402,6,33,
"R7, R8",0402,2,27,
"RV1, RV2",Potentiometer_RV09,2,1M,
"SW1, SW2, SW3",K2-1808SN-A4SW-01,3,K2-1808SN-A4SW-01,
U1,RP2350-QFN-60-1EP_7x7_P0.4mm_EP3.4x3.4mm_ThermalVias,1,RP2350_60QFN,
U2,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q128JVS,
U3,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm,1,MCP6002-xSN,
U4,QFN-28-1EP_4x4mm_P0.45mm_EP2.4x2.4mm_ThermalVias,1,~,
U5,SOIC-8 Generic,1,PSRAM,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,ABM8-272-T3,
