Designator,Mid X,Mid Y,Rotation,Layer
C1,53.975,-54.638,90.0,top
C10,67.1576,-77.1932,270.0,top
C11,70.965,-71.882,0.0,top
C12,67.183,-64.548,90.0,top
C13,59.789,-73.152,180.0,top
C14,71.402,-73.025,0.0,top
C15,62.5068,-66.0908,180.0,top
C16,62.512,-65.151,180.0,top
C17,69.624,-76.2,0.0,top
C18,63.782,-76.934,270.0,top
C19,63.693,-53.975,0.0,top
C2,60.5308,-74.7776,180.0,top
C20,65.913,-43.749,90.0,top
C21,70.0532,-95.984,90.0,top
C22,68.7324,-95.984,90.0,top
C23,68.6308,-104.2136,90.0,top
C24,60.9092,-77.4928,270.0,top
C25,69.6468,-105.2348,90.0,top
C26,76.4032,-105.382,270.0,top
C27,66.4236,-103.3272,0.0,top
C28,56.9748,-102.5144,180.0,top
C29,56.9696,-103.728,180.0,top
C3,67.0586,-78.613,0.0,top
C30,75.9232,-98.1456,0.0,top
C31,75.9232,-96.9264,0.0,top
C33,75.1332,-100.4544,90.0,top
C34,76.3524,-100.4544,90.0,top
C35,75.0824,-102.7404,90.0,top
C36,76.4032,-102.7404,90.0,top
C37,75.0316,-105.382,270.0,top
C38,72.263,-105.382,270.0,top
C39,73.5584,-105.382,270.0,top
C4,64.6964,-78.5876,180.0,top
C5,71.2724,-95.984,90.0,top
C6,69.843,-65.084,0.0,top
C7,69.843,-63.814,0.0,top
C8,59.464,-70.993,180.0,top
C9,70.894,-66.294,0.0,top
D1,51.6445,-96.012,0.0,top
FB3,56.7944,-100.2414,90.0,top
GND1,60.96,-96.52,270.0,bottom
J1,49.403,-66.04,0.0,bottom
J2,74.93,-66.04,0.0,bottom
J5,72.136,-40.619,180.0,top
L1,69.185,-59.309,0.0,top
R10,52.707,-57.023,90.0,top
R11,64.072,-48.26,0.0,top
R12,54.862,-57.025,90.0,top
R13,67.1048,-104.648,0.0,top
R14,49.4264,-75.0316,0.0,top
R15,49.274,-77.1652,180.0,top
R16,49.3248,-79.4512,180.0,top
R17,68.074,-105.7148,0.0,top
R19,62.8396,-100.1288,270.0,top
R2,65.8622,-77.1378,270.0,top
R20,66.4484,-99.06,0.0,top
R21,66.4444,-100.1268,0.0,top
R22,66.4444,-101.1936,0.0,top
R23,66.4484,-102.2604,0.0,top
R24,74.4728,-96.014,90.0,top
R25,73.4568,-96.014,90.0,top
R3,60.008,-48.26,180.0,top
R4,56.9912,-41.783,180.0,top
R5,68.199,-64.578,90.0,top
R6,50.544,-41.783,180.0,top
R7,64.77,-63.375,270.0,top
R8,65.9384,-63.4004,270.0,top
R9,51.052,-97.282,180.0,top
RV1,55.245,-89.1942,0.0,top
RV2,69.215,-89.1942,0.0,top
SW1,57.0484,-43.942,180.0,top
SW2,51.435,-99.695,0.0,top
SW3,50.546,-43.942,180.0,top
U1,65.6675,-71.12,0.0,top
U2,55.5752,-69.5638,180.0,top
U3,50.685,-52.005,0.0,top
U4,70.993,-101.005472,45.0,top
U5,55.8496,-77.8358,270.0,top
V_SUPPLY1,60.96,-50.8,270.0,bottom
Y1,72.517,-78.867,180.0,top
Y2,60.1648,-100.5688,0.0,top
