Designator,Mid X,Mid Y,Rotation,Layer
C1,53.975,-54.638,90.0,top
C10,67.1576,-77.1932,270.0,top
C11,70.965,-70.739,0.0,top
C12,67.183,-64.548,90.0,top
C13,59.944,-73.914,180.0,top
C14,71.3512,-71.755,0.0,top
C15,62.512,-66.167,180.0,top
C16,62.512,-65.151,180.0,top
C17,69.624,-76.2,0.0,top
C18,63.782,-76.934,270.0,top
C19,63.693,-53.975,0.0,top
C2,57.94,-76.835,0.0,top
C20,65.913,-43.749,90.0,top
C21,62.865,-60.501,270.0,top
C22,59.718,-53.594,0.0,top
C23,57.376,-53.594,0.0,top
C3,67.0586,-78.613,0.0,top
C4,64.6964,-78.5876,180.0,top
C5,64.516,-59.845,270.0,top
C6,69.843,-65.084,0.0,top
C7,69.843,-63.814,0.0,top
C8,59.464,-70.993,180.0,top
C9,70.894,-66.294,0.0,top
D1,51.6445,-96.012,0.0,top
GND1,60.96,-96.52,270.0,bottom
J1,49.403,-66.04,0.0,top
J2,74.93,-66.04,0.0,top
J5,72.136,-40.619,180.0,top
L1,69.947,-61.401,0.0,top
R10,52.707,-57.023,90.0,top
R11,64.072,-48.26,0.0,top
R12,54.862,-57.025,90.0,top
R15,49.401,-74.676,180.0,top
R16,49.401,-78.232,0.0,top
R17,59.688,-55.753,0.0,top
R18,57.402,-55.753,180.0,top
R2,65.8622,-77.1378,270.0,top
R3,60.008,-48.26,180.0,top
R4,56.9912,-41.783,180.0,top
R5,68.199,-64.578,90.0,top
R6,50.544,-41.783,180.0,top
R7,64.77,-63.375,270.0,top
R8,65.913,-63.375,270.0,top
R9,51.052,-97.282,180.0,top
RV1,55.245,-89.1942,0.0,top
RV2,69.215,-89.1942,0.0,top
SW1,57.0484,-43.942,180.0,top
SW2,51.435,-99.695,0.0,top
SW3,50.546,-43.942,180.0,top
U1,65.6675,-71.12,0.0,top
U2,55.6125,-71.12,180.0,top
U3,50.685,-52.005,0.0,top
U4,58.94,-60.39,0.0,top
V_SUPPLY1,60.96,-50.8,270.0,bottom
Y1,72.517,-78.867,180.0,top
