Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C21, C22, C26, C34, C36, C39, C4, C6, C9",0402,10,0.1uf,
"C10, C2, C8",0603,3,22uf,
"C11, C27, C33, C35, C37, C38, C5, C7",0402,8,10uf,
C12,1206,1,100uf,
C20,0805,1,10nf,
C3,0402,1,1uf,
D1,0603,1,LED,
FB1,0805,1,GZ2012E800TF,
"GND1, V_SUPPLY1",Power_Connector,2,Conn_01x05_Pin,
"INPUT1, OUTPUT1",PinSocket_1x05_P2.54mm_Vertical,2,Conn_01x05_Socket,
J5,HRO-TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_14P,
"R1, R13, R17, R2, R9",0402,5,1k,
"R10, R12, R16, R19",0402,4,100k,
"R11, R4",0603,2,5.1k,
"R14, R18, R26, R7, R8",0402,5,33,
"R24, R25",0402,2,4.7k,
R3,0402,1,10k,
"R5, R6",0402,2,1.5k,
"RV1, RV2",Potentiometer_RV09,2,50k,
"SW1, SW2, SW4",K2-1808SN-A4SW-01,3,K2-1808SN-A4SW-01,
U1,ESP32-S3-WROOM-1U,1,ESP32-S3-WROOM-1U-N16R8,
U3,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm,1,MCP6002-xSN,
U4,QFN-28-1EP_4x4mm_P0.45mm_EP2.4x2.4mm_ThermalVias,1,~,
U5,SOT-23-5,1,AP2112K-3.3,
U6,SOT-23-5,1,LP5907MFX-3.3,
