Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C4, C5, C6, C7",0402,6,0.1uf,
C3,1206,1,100uf,
"D1, D3, D5",D_SMA,3,SS14,
D6,D_SMA,1,SS210,
"GND1, GND2, V_SUPPLY1, V_SUPPLY2",Power_Connector,4,Conn_01x05_Pin,
INPUT1,PinSocket_1x05_P2.54mm_Vertical,1,Conn_01x05_Socket,
OUTPUT1,PinSocket_1x08_P2.54mm_Vertical,1,Conn_01x05_Socket,
"R1, R2, R24, R26, R28, R45, R47, R48",0402,8,1k,
"R10, R11, R12, R22, R25, R27, R4, R6, R8",0402,9,200k,
"R13, R14, R15, R16, R17, R18, R19, R20, R30, R40, R41, R42, R43, R44",0402,14,100k,
"R21, R23, R29, R3, R31, R32, R33, R34, R35, R36, R37, R38, R39, R5, R7, R9",0402,16,1M,
R46,0402,1,51k,
"RV1, RV16, RV2, RV3, RV4, RV5, RV6, RV7",Potentiometer_RV09,8,50k,
"RV10, RV11, RV12, RV13, RV14, RV15, RV17, RV8, RV9",Potentiometer_RV09,9,500k,
"U1, U2, U3, U4, U5, U6",SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm,6,MCP6002-xSN,
