Designator,Mid X,Mid Y,Rotation,Layer
C1,89.309,-44.196,180.0,top
C2,76.228,-44.069,180.0,top
C3,96.52,-48.465,270.0,top
C4,76.863,-97.155,180.0,top
C5,89.055,-97.028,180.0,top
C6,109.629,-45.212,180.0,top
C7,108.867,-99.314,180.0,top
D1,117.253,-101.346,0.0,top
D3,117.253,-105.41,0.0,top
D5,126.46,-101.219,0.0,top
D6,134.207,-101.092,0.0,top
GND1,60.96,-96.52,270.0,bottom
GND2,121.92,-96.52,270.0,bottom
INPUT1,50.8,-50.8,0.0,top
OUTPUT1,134.62,-54.61,0.0,top
R1,96.567,-44.294,180.0,top
R10,80.645,-92.581,270.0,top
R11,69.34,-98.425,0.0,top
R12,109.601,-63.117,270.0,top
R13,68.832,-45.847,0.0,top
R14,68.832,-48.133,0.0,top
R15,78.484,-46.609,180.0,top
R16,78.484,-47.879,180.0,top
R17,81.151,-45.847,0.0,top
R18,81.151,-48.133,0.0,top
R19,91.95,-46.99,180.0,top
R2,96.571,-42.545,180.0,top
R20,91.95,-50.419,0.0,top
R21,78.992,-99.822,180.0,top
R22,109.73,-78.488,270.0,top
R23,81.532,-98.425,0.0,top
R24,78.992,-98.425,0.0,top
R25,92.4834,-101.8794,0.0,top
R26,90.676,-99.568,90.0,top
R27,109.728,-94.363,270.0,top
R28,83.818,-96.774,0.0,top
R29,112.139,-50.165,0.0,top
R3,81.151,-49.403,180.0,top
R30,100.582,-102.616,0.0,top
R31,52.578,-65.149,270.0,top
R32,52.578,-79.373,270.0,top
R33,66.675,-65.403,270.0,top
R34,66.675,-79.246,270.0,top
R35,80.645,-65.149,270.0,top
R36,80.645,-79.373,270.0,top
R37,94.615,-65.276,270.0,top
R38,94.615,-79.373,270.0,top
R39,101.217,-49.911,180.0,top
R4,94.488,-92.204,270.0,top
R40,101.217,-48.768,0.0,top
R41,101.217,-46.482,0.0,top
R42,112.266,-47.879,180.0,top
R43,112.266,-45.72,180.0,top
R44,100.584,-100.076,0.0,top
R45,111.631,-100.711,180.0,top
R46,111.631,-104.267,0.0,top
R47,123.952,-73.281,90.0,top
R48,137.033,-98.169,90.0,top
R5,89.406,-51.181,0.0,top
R6,108.458,-91.692,270.0,top
R7,68.832,-49.276,180.0,top
R8,66.675,-92.71,270.0,top
R9,76.583,-51.054,0.0,top
RV1,59.65,-89.115,0.0,top
RV10,73.62,-60.914,0.0,top
RV11,73.62,-75.011,0.0,top
RV12,87.67,-60.914,0.0,top
RV13,87.67,-75.011,0.0,top
RV14,101.56,-60.914,0.0,top
RV15,101.56,-75.011,0.0,top
RV16,131.278,-89.108,0.0,top
RV17,131.151,-73.995,0.0,top
RV2,73.62,-89.115,0.0,top
RV3,87.603,-89.115,0.0,top
RV4,101.574,-89.115,0.0,top
RV5,116.84,-89.108,0.0,top
RV6,116.8,-60.914,0.0,top
RV7,116.8,-75.011,0.0,top
RV8,59.69,-60.921,0.0,top
RV9,59.65,-75.018,0.0,top
U1,73.725,-47.625,270.0,top
U2,86.425,-47.625,270.0,top
U3,74.23,-100.445,270.0,top
U4,86.295,-100.33,270.0,top
U5,106.807,-48.387,270.0,top
U6,106.172,-102.616,270.0,top
V_SUPPLY1,60.96,-50.8,270.0,bottom
V_SUPPLY2,121.92,-50.8,270.0,bottom
