Designator,Mid X,Mid Y,Rotation,Layer
5V1,60.96,-50.8,270.0,bottom
C1,68.199,-55.725,270.0,top
C2,71.677,-96.647,180.0,top
C3,53.495,-74.041,0.0,top
D1,57.068,-56.249,180.0,top
D2,72.537,-67.691,0.0,top
D3,72.537,-72.39,0.0,top
D4,72.6185,-63.119,0.0,top
GND1,60.96,-96.52,270.0,bottom
INPUT1,50.8,-50.8,0.0,top
OUTPUT2,73.66,-50.8,0.0,top
R3,55.943,-59.17,0.0,top
R4,58.866,-58.664,90.0,top
R5,56.325,-54.471,0.0,top
R6,50.292,-74.041,0.0,top
R7,53.338,-63.119,0.0,top
RV1,62.23,-68.925,90.0,top
RV2,54.61,-85.435,90.0,top
RV3,69.85,-85.435,90.0,top
U1,63.5,-57.404,270.0,top
U2,51.677,-68.137,0.0,top
