Designator,Mid X,Mid Y,Rotation,Layer
C1,41.717000,-73.886000,90.000000,top
C2,49.149000,-64.008000,180.000000,top
C3,233.487500,-116.840000,0.000000,top
C4,49.149000,-71.374000,180.000000,top
C5,34.290000,-55.565000,90.000000,top
C6,43.749000,-72.595000,90.000000,top
C7,233.475000,-138.430000,0.000000,top
C8,233.487500,-120.935000,0.000000,top
C9,233.475000,-142.494000,0.000000,top
C10,233.487500,-125.095000,0.000000,top
C11,233.475000,-146.558000,0.000000,top
C12,233.487500,-129.286000,0.000000,top
C13,233.475000,-150.876000,0.000000,top
C14,243.635000,-101.715000,0.000000,top
C15,243.995000,-91.555000,0.000000,top
C16,46.063000,-66.548000,180.000000,top
C17,44.217000,-55.626000,180.000000,top
C18,250.050000,-53.340000,0.000000,top
C19,237.604000,-53.594000,180.000000,top
C20,244.905000,-59.690000,0.000000,top
C21,44.958000,-58.420000,180.000000,top
C22,74.340000,-36.200000,270.000000,top
C23,76.840000,-36.200000,270.000000,top
C24,104.940000,-36.300000,270.000000,top
C25,107.440000,-36.300000,270.000000,top
C26,135.420000,-36.300000,270.000000,top
C27,137.920000,-36.300000,270.000000,top
C28,165.900000,-36.300000,270.000000,top
C29,168.400000,-36.300000,270.000000,top
C30,196.380000,-36.300000,270.000000,top
C31,198.880000,-36.300000,270.000000,top
C32,226.860000,-36.300000,270.000000,top
C33,229.360000,-36.300000,270.000000,top
C34,74.460000,-104.880000,270.000000,top
C35,76.960000,-104.880000,270.000000,top
C36,104.940000,-104.880000,270.000000,top
C37,107.440000,-104.880000,270.000000,top
C38,135.420000,-104.880000,270.000000,top
C39,137.920000,-104.880000,270.000000,top
C40,165.900000,-104.880000,270.000000,top
C41,168.400000,-104.880000,270.000000,top
C42,196.380000,-104.880000,270.000000,top
C43,198.880000,-104.880000,270.000000,top
C44,226.860000,-104.880000,270.000000,top
C45,229.360000,-104.880000,270.000000,top
C46,51.200000,-35.800000,180.000000,top
C47,52.000000,-39.800000,180.000000,top
D1,42.962500,-41.650000,180.000000,top
D2,51.200000,-49.800000,0.000000,top
D3,51.200000,-29.000000,0.000000,top
F1,44.500000,-47.000000,180.000000,top
F2,51.200000,-43.800000,0.000000,top
FB1,49.280000,-55.626000,0.000000,top
FB2,49.149000,-73.660000,180.000000,top
J5,30.840000,-46.990000,270.000000,top
R1,42.940000,-43.400000,180.000000,top
R2,37.275000,-54.610000,180.000000,top
R3,37.275000,-57.785000,180.000000,top
R4,49.591000,-61.470000,180.000000,top
R5,238.125000,-86.235000,270.000000,top
R6,248.410000,-98.540000,90.000000,top
R7,237.490000,-98.415000,90.000000,top
R8,248.285000,-96.000000,90.000000,top
R9,237.490000,-96.125000,90.000000,top
R10,233.487500,-154.940000,0.000000,top
R12,233.500000,-133.350000,0.000000,top
R14,232.410000,-89.410000,270.000000,top
R15,232.410000,-93.220000,270.000000,top
R16,249.807000,-61.468000,0.000000,top
R17,237.615000,-61.468000,180.000000,top
R18,249.807000,-56.261000,180.000000,top
R19,237.615000,-56.388000,0.000000,top
R20,249.934000,-50.419000,0.000000,top
R21,237.615000,-50.673000,0.000000,top
R24,242.439000,-64.643000,180.000000,top
R25,245.489000,-64.643000,0.000000,top
R26,39.370000,-34.927000,90.000000,top
R27,46.289000,-71.372000,270.000000,top
R28,78.840000,-29.400000,0.000000,top
R29,79.840000,-35.000000,0.000000,top
R30,109.440000,-29.500000,0.000000,top
R31,110.440000,-35.100000,0.000000,top
R32,139.920000,-29.500000,0.000000,top
R33,140.920000,-35.100000,0.000000,top
R34,170.400000,-29.500000,0.000000,top
R35,171.400000,-35.100000,0.000000,top
R36,200.880000,-29.500000,0.000000,top
R37,201.880000,-35.100000,0.000000,top
R38,231.360000,-29.500000,0.000000,top
R39,232.360000,-35.100000,0.000000,top
R40,78.960000,-98.080000,0.000000,top
R41,79.960000,-103.680000,0.000000,top
R42,109.440000,-98.080000,0.000000,top
R43,110.440000,-103.680000,0.000000,top
R44,139.920000,-98.080000,0.000000,top
R45,140.920000,-103.680000,0.000000,top
R46,170.400000,-98.080000,0.000000,top
R47,171.400000,-103.680000,0.000000,top
R48,200.880000,-98.080000,0.000000,top
R49,201.880000,-103.680000,0.000000,top
R50,231.360000,-98.080000,0.000000,top
R51,232.360000,-103.680000,0.000000,top
SW1,35.306000,-35.433000,180.000000,top
U2,243.140000,-87.745000,0.000000,top
U3,243.140000,-97.385000,0.000000,top
U4,243.905000,-54.725000,0.000000,top
U5,49.149000,-67.685500,270.000000,top
U6,74.840000,-31.500000,180.000000,top
U7,105.440000,-31.600000,180.000000,top
U8,135.920000,-31.600000,180.000000,top
U9,166.400000,-31.600000,180.000000,top
U10,196.880000,-31.600000,180.000000,top
U11,227.360000,-31.600000,180.000000,top
U12,74.960000,-100.180000,180.000000,top
U13,105.440000,-100.180000,180.000000,top
U14,135.920000,-100.180000,180.000000,top
U15,166.400000,-100.180000,180.000000,top
U16,196.880000,-100.180000,180.000000,top
U17,227.360000,-100.180000,180.000000,top
