Designator,Footprint,Quantity,Value,LCSC Part #
5V14,PinSocket_2x05_P2.54mm_Vertical,1,Conn_02x05_Socket,
"C1, C6",CP_Elec_6.3x7.7,2,470uf,
"C10, C11, C12, C13, C14, C20, C3, C7, C8, C9",1206,10,100uf,
C15,0402,1,0.1uf,
"C18, C19",0603,2,4.7uf,
"C2, C4",0805,2,0.1uf,
C5,0805,1,10nf,
D1,0603,1,LED,
D2,SOT-23,1,SS8550,
"FB1, FB2",0805,2,GZ2012E800TF,
"GND1, GND10, GND11, GND12, GND2, GND3, GND4, GND5, GND6, GND7, GND8, GND9, VSUPPLY_10, VSUPPLY_11, VSUPPLY_12, VSUPPLY_2, VSUPPLY_3, VSUPPLY_4, VSUPPLY_5, VSUPPLY_6, VSUPPLY_7, VSUPPLY_8, VSUPPLY_9",Power_Connector,23,Conn_02x05_Socket,
INPUT1,PinSocket_1x05_P2.54mm_Vertical,1,Conn_01x05_Socket,
J1,Jack_3.5mm_QingPu_WQP-PJ366ST_Vertical,1,LineOut,
"J2, J4",Jack_3.5mm_QingPu_WQP-PJ366ST_Vertical,2,Ground,
J5,HRO-TYPE-C-31-M-12,1,USB_C_Receptacle_PowerOnly_6P,
J6,Jack_3.5mm_QingPu_WQP-PJ366ST_Vertical,1,HeadphoneOut,
"R1, R14, R15, R20, R21",0402,5,1k,
"R10, R12",1206,2,10,
"R16, R17, R5",0402,3,1M,
"R18, R19",0603,2,330k,
"R2, R3",0603,2,5.1k,
"R24, R25, R4",0402,3,10k,
"R6, R7, R8, R9",0402,4,100k,
"RV1, RV2",Potentiometer_RV09,2,50k,
SW1,SPST_TS-1187A-B-A-B,1,SW_SPST,
U1,SOT-223,1,AMS1117-3.3,
"U2, U3, U4",SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm,3,MCP6002-xSN,
VSUPPLY_1,Power_Connector,1,Conn_01x05_Socket,
