Designator,Group,Qty,Footprint,Value,Assembly,Supply,JLCPCB,Part to fit,Recommended
VSUPPLY_1,slot-rail-socket,12,BreadModular_MISC:Power_Connector,Conn_01x05_Socket,hand-solder,user-supplied,excluded (through hole),"FEMALE 1x05 2.54 mm socket, top entry, square holes, insulator height >= 6.5 mm.",C2897368 / PM254-1-05-Z-8.5 (HCTL)
VSUPPLY_2,slot-rail-socket,12,BreadModular_MISC:Power_Connector,Conn_01x05_Socket,hand-solder,user-supplied,excluded (through hole),"FEMALE 1x05 2.54 mm socket, top entry, square holes, insulator height >= 6.5 mm.",C2897368 / PM254-1-05-Z-8.5 (HCTL)
VSUPPLY_3,slot-rail-socket,12,BreadModular_MISC:Power_Connector,Conn_01x05_Socket,hand-solder,user-supplied,excluded (through hole),"FEMALE 1x05 2.54 mm socket, top entry, square holes, insulator height >= 6.5 mm.",C2897368 / PM254-1-05-Z-8.5 (HCTL)
VSUPPLY_4,slot-rail-socket,12,BreadModular_MISC:Power_Connector,Conn_01x05_Socket,hand-solder,user-supplied,excluded (through hole),"FEMALE 1x05 2.54 mm socket, top entry, square holes, insulator height >= 6.5 mm.",C2897368 / PM254-1-05-Z-8.5 (HCTL)
VSUPPLY_5,slot-rail-socket,12,BreadModular_MISC:Power_Connector,Conn_01x05_Socket,hand-solder,user-supplied,excluded (through hole),"FEMALE 1x05 2.54 mm socket, top entry, square holes, insulator height >= 6.5 mm.",C2897368 / PM254-1-05-Z-8.5 (HCTL)
VSUPPLY_6,slot-rail-socket,12,BreadModular_MISC:Power_Connector,Conn_01x05_Socket,hand-solder,user-supplied,excluded (through hole),"FEMALE 1x05 2.54 mm socket, top entry, square holes, insulator height >= 6.5 mm.",C2897368 / PM254-1-05-Z-8.5 (HCTL)
VSUPPLY_7,slot-rail-socket,12,BreadModular_MISC:Power_Connector,Conn_01x05_Socket,hand-solder,user-supplied,excluded (through hole),"FEMALE 1x05 2.54 mm socket, top entry, square holes, insulator height >= 6.5 mm.",C2897368 / PM254-1-05-Z-8.5 (HCTL)
VSUPPLY_8,slot-rail-socket,12,BreadModular_MISC:Power_Connector,Conn_01x05_Socket,hand-solder,user-supplied,excluded (through hole),"FEMALE 1x05 2.54 mm socket, top entry, square holes, insulator height >= 6.5 mm.",C2897368 / PM254-1-05-Z-8.5 (HCTL)
VSUPPLY_9,slot-rail-socket,12,BreadModular_MISC:Power_Connector,Conn_01x05_Socket,hand-solder,user-supplied,excluded (through hole),"FEMALE 1x05 2.54 mm socket, top entry, square holes, insulator height >= 6.5 mm.",C2897368 / PM254-1-05-Z-8.5 (HCTL)
VSUPPLY_10,slot-rail-socket,12,BreadModular_MISC:Power_Connector,Conn_01x05_Socket,hand-solder,user-supplied,excluded (through hole),"FEMALE 1x05 2.54 mm socket, top entry, square holes, insulator height >= 6.5 mm.",C2897368 / PM254-1-05-Z-8.5 (HCTL)
VSUPPLY_11,slot-rail-socket,12,BreadModular_MISC:Power_Connector,Conn_01x05_Socket,hand-solder,user-supplied,excluded (through hole),"FEMALE 1x05 2.54 mm socket, top entry, square holes, insulator height >= 6.5 mm.",C2897368 / PM254-1-05-Z-8.5 (HCTL)
VSUPPLY_12,slot-rail-socket,12,BreadModular_MISC:Power_Connector,Conn_01x05_Socket,hand-solder,user-supplied,excluded (through hole),"FEMALE 1x05 2.54 mm socket, top entry, square holes, insulator height >= 6.5 mm.",C2897368 / PM254-1-05-Z-8.5 (HCTL)
