Designator,Mid X,Mid Y,Rotation,Layer
5V14,42.545,-147.32,180.0,top
C1,41.717,-73.886,90.0,top
C10,233.4875,-125.095,0.0,top
C11,233.475,-146.558,0.0,top
C12,233.4875,-129.286,0.0,top
C13,233.475,-150.876,0.0,top
C14,243.635,-101.715,0.0,top
C15,243.995,-91.555,0.0,top
C16,46.063,-66.548,180.0,top
C17,44.217,-55.626,180.0,top
C18,250.05,-53.34,0.0,top
C19,237.604,-53.594,180.0,top
C2,49.149,-64.008,180.0,top
C20,244.905,-59.69,0.0,top
C21,44.958,-58.42,180.0,top
C3,233.4875,-116.84,0.0,top
C4,49.149,-71.374,180.0,top
C5,34.29,-55.565,90.0,top
C6,43.749,-72.595,90.0,top
C7,233.475,-138.43,0.0,top
C8,233.4875,-120.935,0.0,top
C9,233.475,-142.494,0.0,top
D1,42.9625,-41.65,180.0,top
FB1,49.28,-55.626,0.0,top
FB2,49.149,-73.66,180.0,top
GND1,66.04,-83.82,270.0,top
GND10,157.48,-152.4,270.0,top
GND11,187.96,-152.4,270.0,top
GND12,218.44,-152.4,270.0,top
GND2,96.52,-83.82,270.0,top
GND3,127.0,-83.82,270.0,top
GND4,157.48,-83.82,270.0,top
GND5,187.96,-83.82,270.0,top
GND6,218.44,-83.82,270.0,top
GND7,66.04,-152.4,270.0,top
GND8,96.52,-152.4,270.0,top
GND9,127.0,-152.4,270.0,top
INPUT1,243.84,-76.2,90.0,top
J1,243.84,-41.135,0.0,top
J2,40.64,-127.655,0.0,top
J4,40.64,-107.175,0.0,top
J5,30.84,-46.99,270.0,top
J6,243.84,-155.595,0.0,top
R1,42.94,-43.4,180.0,top
R10,233.4875,-154.94,0.0,top
R12,233.5,-133.35,0.0,top
R14,232.41,-89.41,270.0,top
R15,232.41,-93.22,270.0,top
R16,249.807,-61.468,0.0,top
R17,237.615,-61.468,180.0,top
R18,249.807,-56.261,180.0,top
R19,237.615,-56.388,0.0,top
R2,37.275,-54.61,180.0,top
R20,249.934,-50.419,0.0,top
R21,237.615,-50.673,0.0,top
R24,242.439,-64.643,180.0,top
R25,245.489,-64.643,0.0,top
R26,39.37,-34.927,90.0,top
R27,46.289,-71.372,270.0,top
R3,37.275,-57.785,180.0,top
R4,49.591,-61.47,180.0,top
R5,238.125,-86.235,270.0,top
R6,248.41,-98.54,90.0,top
R7,237.49,-98.415,90.0,top
R8,248.285,-96.0,90.0,top
R9,237.49,-96.125,90.0,top
RV1,243.713,-119.722,0.0,top
RV2,243.713,-137.502,0.0,top
SW1,35.306,-35.433,180.0,top
U2,243.14,-87.745,270.0,top
U3,243.14,-97.385,270.0,top
U4,243.905,-54.725,270.0,top
U5,49.149,-67.6855,90.0,top
VSUPPLY_1,65.92,-38.0,270.0,top
VSUPPLY_10,157.48,-106.68,270.0,top
VSUPPLY_11,187.96,-106.68,270.0,top
VSUPPLY_12,218.44,-106.68,270.0,top
VSUPPLY_2,96.52,-38.1,270.0,top
VSUPPLY_3,127.0,-38.1,270.0,top
VSUPPLY_4,157.48,-38.1,270.0,top
VSUPPLY_5,187.96,-38.1,270.0,top
VSUPPLY_6,218.44,-38.1,270.0,top
VSUPPLY_7,66.04,-106.68,270.0,top
VSUPPLY_8,96.52,-106.68,270.0,top
VSUPPLY_9,127.0,-106.68,270.0,top
