Designator,Footprint,Quantity,Value,LCSC Part #
C1,1206,1,100uf,
C2,0402,1,0.1uf,
D1,0603,1,LED_MODE_1,
D2,0603,1,LED_MODE_2,
D3,0603,1,LED_MODE_3,
D4,0603,1,LED_MODE_0,
D5,0603,1,LED_MODE_4,
"GND1, V_SUPPLY1",Power_Connector,2,Conn_01x05_Pin,
"INPUT1, OUTPUT1",PinSocket_1x05_P2.54mm_Vertical,2,Conn_01x05_Socket,
MODE_TOGGLE1,SPST_TS-1187A-B-A-B,1,SW_SPST,
R1,0402,1,4.7k,
"R10, R11",0402,2,100k,
"R2, R3, R4, R5, R6, R9",0402,6,1k,
"RV1, RV2",Potentiometer_RV09,2,50k,
U1,VQFN-20-1EP_3x3mm_P0.4mm_EP1.7x1.7mm,1,ATtiny1616-M,
U2,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm,1,MCP6002-xSN,
