Designator,Mid X,Mid Y,Rotation,Layer
C1,65.052,-54.229,0.0,top
D1,51.022,-81.915,0.0,top
D2,51.022,-87.503,0.0,top
D3,72.866,-81.915,0.0,top
D4,72.739,-87.503,0.0,top
D6,57.626,-101.346,0.0,top
D7,67.024,-101.473,0.0,top
GND1,60.96,-96.52,270.0,bottom
INPUT1,50.8,-50.8,0.0,top
OUTPUT1,73.66,-50.8,0.0,top
R1,49.659,-59.436,0.0,top
R2,51.941,-59.436,0.0,top
R3,68.012,-59.575,180.0,top
R4,67.502,-57.67,90.0,top
R5,68.012,-55.765,0.0,top
R6,69.85,-98.552,0.0,top
R7,57.275,-56.388,0.0,top
R8,57.275,-59.309,0.0,top
RV1,62.103,-87.21,0.0,top
RV2,55.525,-70.71,0.0,top
RV3,69.215,-70.7,0.0,top
U1,62.295,-57.785,270.0,top
V_SUPPLY1,60.96,-50.8,270.0,bottom
