Designator,Footprint,Quantity,Value,LCSC Part #
C1,1206,1,100uf,
"C3, C4",0402,2,0.1uf,
"D1, D2, D3",0603,3,LED,
"GND1, V_SUPPLY1",Power_Connector,2,Conn_01x05_Pin,
INPUT1,PinSocket_1x06_P2.54mm_Vertical,1,Conn_01x05_Socket,
OUTPUT1,PinSocket_1x05_P2.54mm_Vertical,1,Conn_01x05_Socket,
"R1, R12",0402,2,4.7k,
"R10, R11, R3, R7, R8",0402,5,100k,
"R2, R4, R5",0402,3,1k,
"R6, R9",0402,2,330,
"RV2, RV3",Potentiometer_RV09,2,1M,
"SW1, SW2",K2-1808SN-A4SW-01,2,K2-1808SN-A4SW-01,
"U1, U3",SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm,2,MCP6002-xSN,
U2,VQFN-20-1EP_3x3mm_P0.4mm_EP1.7x1.7mm,1,ATtiny1616-M,
