Designator,Mid X,Mid Y,Rotation,Layer
C1,59.485,-88.05,0.0,top
C3,66.548,-61.468,180.0,top
C4,60.48,-54.229,180.0,top
D1,51.2825,-80.01,180.0,top
D2,72.85,-79.98,0.0,top
D3,64.135,-83.9725,90.0,top
GND1,60.96,-96.52,270.0,bottom
INPUT1,50.8,-52.07,0.0,top
OUTPUT1,73.66,-50.8,0.0,top
R1,50.671,-60.96,0.0,top
R10,73.785,-59.309,0.0,top
R11,73.785,-60.706,0.0,top
R12,64.135,-86.917,270.0,top
R2,64.77,-54.102,0.0,top
R3,62.23,-73.785,270.0,top
R4,56.521,-92.456,0.0,top
R5,58.93,-92.456,0.0,top
R6,54.1,-80.01,0.0,top
R7,54.1,-61.595,180.0,top
R8,61.47,-61.595,0.0,top
R9,69.675,-79.98,180.0,top
RV2,55.245,-70.83,0.0,top
RV3,69.215,-70.83,0.0,top
SW1,52.07,-86.995,180.0,top
SW2,71.58,-86.965,0.0,top
U1,67.375,-57.785,270.0,top
U2,59.48,-82.76,90.0,top
U3,57.72,-57.785,270.0,top
V_SUPPLY1,60.96,-50.8,270.0,bottom
