Designator,Footprint,Quantity,Value,LCSC Part #
"5V1, GND1",PinHeader_1x05_P2.54mm_Vertical,2,Conn_01x05_Pin,
"C1, C2, C3, C4, C6, C7, C8, C9",1206,8,100uf,
C5,0402,1,0.1uf,
"D1, D2",SOT-23,2,SS8050,
INPUT,PinSocket_1x05_P2.54mm_Vertical,1,Conn_01x05_Socket,
"LEFT, RIGHT",Potentiometer_RV09,2,50k,
OUT,Jack_3.5mm_QingPu_WQP-PJ366ST_Vertical,1,AudioJack3,
"R1, R8",0402,2,22k,
"R11, R15",1206,2,10,
"R14, R5",1206,2,100,
"R2, R3",0402,2,1k,
"R4, R7",0402,2,100k,
U1,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm,1,MCP6002-xSN,
