Designator,Mid X,Mid Y,Rotation,Layer
5V1,60.96,-50.8,270.0,bottom
C1,73.201,-52.324,180.0,top
C2,73.201,-49.784,180.0,top
C3,70.962,-58.467,0.0,top
C4,73.201,-47.244,180.0,top
C5,61.369,-92.202,0.0,top
C6,73.201,-44.704,180.0,top
C7,70.946,-61.007,0.0,top
C8,70.946,-63.547,0.0,top
C9,70.915,-66.087,0.0,top
D1,51.435,-94.615,90.0,top
D2,72.075,-94.2825,90.0,top
GND1,60.96,-96.52,270.0,bottom
INPUT,50.8,-50.8,0.0,top
LEFT,54.89,-77.05,90.0,top
OUT,61.595,-59.875,180.0,top
R1,51.56,-91.6455,0.0,top
R11,69.215,-49.0875,90.0,top
R14,66.7405,-91.44,0.0,top
R15,74.836,-61.7875,270.0,top
R2,51.691,-61.214,0.0,top
R3,51.689,-64.135,0.0,top
R4,51.56,-89.1055,0.0,top
R5,55.6915,-90.678,180.0,top
R7,72.075,-88.9,0.0,top
R8,72.075,-91.44,0.0,top
RIGHT,69.57,-77.05,90.0,top
U1,62.295,-87.515,270.0,top
