Designator,Footprint,Quantity,Value,LCSC Part #
C1,0402,1,100pf,
"C2, C3",0402,2,1nf,
"C4, C5",0402,2,0.1uf,
C6,0805,1,47uf,
C7,0402,1,10nf,
C8,0603,1,4.7uf,
C9,1206,1,100uf,
"D1, D3",SOT-23,2,SS8050,
D2,D_SMA,1,SS14,
D4,SOT-23,1,SS8550,
"GND1, V_SUPPLY1",Power_Connector,2,Conn_01x05_Pin,
"INPUT1, OUTPUT1",PinSocket_1x05_P2.54mm_Vertical,2,Conn_01x05_Socket,
"R1, R12, R15, R5, R6",0402,5,330,
"R10, R16, R19, R27",0402,4,10k,
"R11, R25, R3, R7, R8",0402,5,1k,
"R13, R17, R18, R2, R21, R24",0402,6,100k,
"R14, R9",0402,2,22k,
"R20, R4",0402,2,200k,
"R22, R23",0402,2,1M,
R26,0402,1,4.7k,
"RV1, RV2",Potentiometer_RV09,2,50k,
U1,VTL5C,1,VTL5C,
"U2, U3, U4",SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm,3,MCP6002-xSN,
U5,VQFN-20-1EP_3x3mm_P0.4mm_EP1.7x1.7mm,1,ATtiny1616-M,
V_SUPPLY2,Conn_Holes_2,1,Conn_01x05_Pin,
