Designator,Mid X,Mid Y,Rotation,Layer
C1,56.642,-57.531,0.0,top
C2,59.335,-63.5,0.0,top
C3,62.385,-63.5,0.0,top
C4,56.289,-93.218,180.0,top
C5,69.723,-99.088,270.0,top
C6,61.534,-61.087,180.0,top
C7,49.532,-90.678,0.0,top
C8,65.773,-93.599,0.0,top
C9,56.974,-100.838,0.0,top
D1,74.0895,-91.379,180.0,top
D2,65.786,-88.805,90.0,top
D3,62.037,-83.3905,270.0,top
D4,70.932,-85.4225,270.0,top
GND1,60.96,-96.52,270.0,bottom
INPUT1,50.8,-50.8,0.0,top
OUTPUT1,73.66,-50.8,0.0,top
R1,59.305,-66.167,0.0,top
R10,67.818,-60.071,0.0,top
R11,62.353,-66.167,0.0,top
R12,49.532,-88.265,0.0,top
R13,49.53,-93.345,180.0,top
R14,70.102,-91.567,180.0,top
R15,70.102,-89.281,180.0,top
R16,70.485,-95.123,0.0,top
R17,75.309,-95.123,0.0,top
R18,73.023,-95.123,180.0,top
R19,58.045,-86.106,180.0,top
R2,56.612,-60.071,0.0,top
R20,70.102,-88.011,180.0,top
R21,60.962,-90.678,180.0,top
R22,60.962,-88.392,180.0,top
R23,62.865,-89.66,90.0,top
R24,60.962,-93.218,0.0,top
R25,74.547,-104.267,0.0,top
R26,62.23,-100.967,90.0,top
R27,50.292,-96.774,0.0,top
R3,67.818,-55.118,0.0,top
R4,56.612,-55.245,0.0,top
R5,65.528,-63.5,0.0,top
R6,65.528,-66.167,0.0,top
R7,50.417,-61.722,0.0,top
R8,50.421,-64.135,0.0,top
R9,67.818,-57.531,0.0,top
RV1,54.61,-75.907,0.0,top
RV2,69.85,-75.91,0.0,top
U1,62.611,-64.897,270.0,bottom
U2,62.292,-57.277,270.0,top
U3,55.249,-89.662,270.0,top
U4,73.025,-99.822,180.0,top
U5,51.733,-100.628,180.0,top
V_SUPPLY1,60.96,-50.8,270.0,bottom
V_SUPPLY2,65.659,-101.092,90.0,bottom
