Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C13, C2, C3, C4",0402,5,100pf,
"C10, C11, C12, C14, C15, C17, C18, C7",0402,8,0.1uf,
C16,1206,1,100uf,
"C5, C6, C8, C9",0402,4,10uf,
"GND1, V_SUPPLY1",Power_Connector,2,Conn_01x05_Pin,
"INPUT1, OUTPUT1",PinSocket_1x05_P2.54mm_Vertical,2,Conn_01x05_Socket,
"R1, R2, R3, R4",0402,4,1M,
"R10, R11, R12, R17, R18, R19, R20, R25, R5, R6, R7, R8, R9",0402,13,22k,
"R13, R14, R15, R16, R21, R22, R23, R24",0402,8,100,
R26,0402,1,1k,
"R27, R28",0402,2,10k,
R29,0402,1,10,
"RV1, RV2, RV3, RV4",Potentiometer_RV09,4,50k,
"U1, U2, U3",SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm,3,MCP6002-xSN,
