Designator,Mid X,Mid Y,Rotation,Layer
C1,74.958,-81.28,180.0,top
C10,56.67,-67.3608,0.0,top
C11,54.4804,-97.4344,0.0,top
C12,74.8056,-100.0252,0.0,top
C13,67.8968,-58.7248,0.0,top
C14,53.8252,-82.6516,0.0,top
C15,54.0284,-58.4708,0.0,top
C16,54.0004,-55.3992,90.0,top
C17,69.5224,-82.7532,0.0,top
C18,60.734,-60.9092,0.0,top
C2,65.1028,-81.534,0.0,top
C3,59.337,-81.3308,0.0,top
C4,49.3548,-81.1784,0.0,top
C5,70.6908,-68.6308,0.0,top
C6,56.7208,-68.7324,0.0,top
C7,70.64,-67.31,0.0,top
C8,54.4856,-94.9452,0.0,top
C9,74.7548,-98.6028,0.0,top
GND1,63.5,-96.52,90.0,top
INPUT1,73.66,-50.8,0.0,top
OUTPUT1,50.8,-50.8,0.0,top
R1,74.9788,-77.3684,0.0,top
R10,65.1236,-80.1116,0.0,top
R11,59.4086,-80.01,0.0,top
R12,49.3248,-80.01,0.0,top
R13,74.928,-82.55,0.0,top
R14,65.022,-82.9056,180.0,top
R15,59.3598,-82.677,0.0,top
R16,49.3248,-82.6008,0.0,top
R17,71.7276,-97.5868,0.0,top
R18,51.306,-97.7392,180.0,top
R19,68.324,-68.6816,180.0,top
R2,65.0728,-77.3176,180.0,top
R20,52.576,-68.4276,180.0,top
R21,70.6608,-65.9384,0.0,top
R22,56.6948,-66.0908,0.0,top
R23,54.4048,-92.4052,0.0,top
R24,74.7248,-96.2152,0.0,top
R25,67.9176,-57.2008,0.0,top
R26,67.8668,-55.7276,180.0,top
R27,56.6908,-54.7624,0.0,top
R28,56.6654,-57.0992,0.0,top
R29,56.6654,-58.5216,180.0,top
R3,49.4264,-77.4192,180.0,top
R4,59.4086,-77.3938,0.0,top
R5,65.0728,-78.74,0.0,top
R6,74.9788,-78.6892,180.0,top
R7,49.4264,-78.6892,0.0,top
R8,59.3832,-78.7146,180.0,top
R9,74.9788,-79.9592,180.0,top
RV1,69.977,-66.89,0.0,bottom
RV2,54.737,-66.89,0.0,bottom
RV3,69.977,-95.592,0.0,bottom
RV4,54.737,-95.592,0.0,bottom
U1,70.039,-79.3108,90.0,top
U2,54.3306,-79.3354,90.0,top
U3,62.5602,-57.1642,90.0,top
V_SUPPLY1,63.5,-50.8,90.0,top
