Designator,Footprint,Quantity,Value,LCSC Part #
"5V1, GND1",PinHeader_1x05_P2.54mm_Vertical,2,Conn_01x05_Pin,
"C1, C3, C4",0402,3,0.1uf,
C2,1206,1,4.7uf,
CV BIAS,Potentiometer_RV09,1,1k,
CV GAIN,Potentiometer_RV09,1,1M,
"INPUT, OUTPUT",PinSocket_1x05_P2.54mm_Vertical,2,Conn_01x05_Socket,
Q1,TO-92L_Wide,1,2N5457,
"R1, R12",0402,2,200k,
"R10, R4, R7",0402,3,100k,
"R11, R9",0402,2,1M,
"R13, R14, R15, R16",0402,4,1k,
"R2, R6",0402,2,22k,
"R3, R5",0402,2,51k,
R8,0402,1,2k,
"U1, U2",SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm,2,MCP6002-xSN,
