Designator,Mid X,Mid Y,Rotation,Layer
5V1,60.96,-50.8,270.0,bottom
C1,49.685,-87.503,180.0,top
C2,74.93,-88.47,270.0,top
C3,71.656,-93.853,0.0,top
C4,57.813,-93.853,0.0,top
CV BIAS,62.357,-77.551,90.0,top
CV GAIN,62.103,-60.914,90.0,top
GND1,60.96,-96.52,270.0,bottom
INPUT,50.8,-50.8,0.0,top
OUTPUT,73.66,-50.8,0.0,top
Q1,73.66,-99.58,0.0,top
R1,62.99,-91.567,180.0,top
R10,75.055,-93.12,0.0,top
R11,68.705,-102.235,0.0,top
R12,60.96,-91.565,90.0,top
R13,49.53,-82.55,0.0,top
R14,60.96,-89.406,90.0,top
R15,59.18,-100.965,0.0,top
R16,63.375,-100.965,0.0,top
R2,62.99,-90.17,180.0,top
R3,75.055,-82.325,0.0,top
R4,49.655,-93.345,0.0,top
R5,75.055,-84.865,0.0,top
R6,49.655,-89.789,180.0,top
R7,62.99,-87.884,0.0,top
R8,71.88,-82.296,0.0,top
R9,75.055,-95.885,0.0,top
U1,55.18,-90.158,270.0,top
U2,68.642,-90.031,270.0,top
