Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4, C5",0402,5,100nf,
"C6, C7",0402,2,10nf,
"GND1, V_SUPPLY1",Power_Connector,2,Conn_01x05_Pin,
"INPUT1, OUTPUT1",PinSocket_1x05_P2.54mm_Vertical,2,Conn_01x05_Socket,
"R1, R16",0402,2,51k,
"R10, R13, R15",0402,3,200k,
"R11, R12, R4",0402,3,100k,
R14,0402,1,10k,
"R2, R3, R5, R7",0402,4,1k,
"R6, R8",0402,2,1M,
R9,0402,1,4.7k,
RV1,Potentiometer_RV09,1,50k,
"RV2, RV3, RV4",Potentiometer_RV09,3,1M,
"U1, U2, U3",SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm,3,MCP6002-xSN,
U4,VTL5C,1,VTL5C,
