Designator,Mid X,Mid Y,Rotation,Layer
C1,56.67,-55.88,0.0,top
C2,55.725,-105.156,180.0,top
C3,56.67,-58.42,0.0,top
C4,72.672,-98.044,180.0,top
C5,59.69,-99.695,0.0,top
C6,49.685,-101.346,180.0,top
C7,49.812,-103.632,0.0,top
GND1,60.96,-96.52,270.0,bottom
INPUT1,50.8,-50.8,0.0,top
OUTPUT1,73.66,-50.8,0.0,top
R1,56.64,-57.15,0.0,top
R10,66.8,-100.838,180.0,top
R11,69.848,-105.029,0.0,top
R12,66.677,-99.568,180.0,top
R13,61.976,-88.773,0.0,top
R14,61.851,-91.313,0.0,top
R15,66.8,-101.854,0.0,top
R16,66.8,-102.87,180.0,top
R2,65.149,-76.708,180.0,top
R3,62.101,-76.708,180.0,top
R4,67.31,-55.245,0.0,top
R5,63.246,-100.713,90.0,top
R6,59.69,-101.6,180.0,top
R7,72.39,-95.25,0.0,top
R8,49.655,-99.695,180.0,top
R9,58.037,-76.708,0.0,top
RV1,69.85,-86.705,90.0,top
RV2,54.61,-67.655,90.0,top
RV3,69.85,-67.655,90.0,top
RV4,53.975,-86.705,90.0,top
U1,62.165,-55.88,270.0,top
U2,54.61,-101.715,270.0,top
U3,72.39,-101.485,270.0,top
U4,62.23,-83.82,90.0,bottom
V_SUPPLY1,60.96,-50.8,270.0,bottom
