Designator,Mid X,Mid Y,Rotation,Layer
C1,49.375,-86.995,0.0,top
C2,64.645,-86.995,0.0,top
C3,57.305,-92.075,0.0,top
C4,72.545,-92.075,0.0,top
C5,53.368,-64.77,180.0,top
GND1,60.96,-96.52,270.0,bottom
J1,62.25,-59.055,90.0,top
OUTPUT1,73.66,-50.8,0.0,top
R1,60.196,-89.662,0.0,top
R10,75.696,-91.692,90.0,top
R11,49.02,-64.77,180.0,top
R12,60.196,-87.122,0.0,top
R13,75.186,-86.995,0.0,top
R14,50.8,-65.278,270.0,top
R2,48.895,-89.025,270.0,top
R3,49.405,-92.075,0.0,top
R4,62.355,-78.232,0.0,top
R5,62.359,-81.153,0.0,top
R6,60.581,-91.567,90.0,top
R7,75.186,-89.535,0.0,top
R8,64.135,-88.902,270.0,top
R9,64.645,-91.694,0.0,top
RV1,54.61,-76.415,90.0,top
RV2,69.85,-76.425,90.0,top
U1,54.675,-88.38,270.0,top
U2,69.785,-88.38,270.0,top
U3,50.8,-60.133,0.0,top
VSUPPLY1,60.96,-50.8,270.0,bottom
