Designator,Mid X,Mid Y,Rotation,Layer
5V1,60.96,-50.8,270.0,bottom
C1,61.263,-88.773,0.0,top
C2,73.8,-86.36,0.0,top
C3,50.8,-86.36,0.0,top
GND1,60.96,-96.52,270.0,bottom
INPUT1,50.8,-50.8,0.0,top
J1,61.976,-67.293,180.0,top
R1,59.44,-54.61,0.0,top
R11,50.925,-76.073,0.0,top
R12,50.798,-60.706,0.0,top
R2,62.609,-54.61,0.0,top
R3,67.945,-85.6,270.0,top
R4,53.34,-85.6,270.0,top
R5,57.15,-82.995,270.0,top
R7,50.716331,-83.36334,0.0,top
R8,67.945,-83.06,270.0,top
R9,73.785,-83.185,0.0,top
U3,62.422,-84.455,270.0,top
