Designator,Mid X,Mid Y,Rotation,Layer
C1,52.733,-65.913,180.0,top
C2,50.8,-62.23,90.0,top
C3,60.325,-63.345,90.0,top
C4,67.465,-66.04,180.0,top
GND1,60.96,-96.52,270.0,bottom
INPUT1,50.8,-50.8,0.0,top
OUTPUT1,73.66,-50.8,0.0,top
R1,60.452,-56.896,0.0,top
R11,70.36,-66.04,0.0,top
R12,55.753,-53.467,180.0,top
R2,63.625,-56.896,0.0,top
R3,64.135,-60.96,90.0,top
R4,64.135,-63.375,90.0,top
R5,60.325,-60.96,270.0,top
R6,69.975,-82.55,0.0,top
R7,53.34,-82.55,0.0,top
RV1,62.23,-76.545,0.0,top
SW1,62.23,-88.519,0.0,top
U1,52.705,-84.455,0.0,bottom
U2,55.31,-62.345,270.0,top
U3,71.755,-84.455,0.0,bottom
U5,69.15,-62.345,270.0,top
V_SUPPLY1,60.96,-50.8,270.0,bottom
