Designator,Mid X,Mid Y,Rotation,Layer
C1,59.309,-56.593,270.0,top
D1,52.1715,-101.219,0.0,top
D2,58.7755,-101.219,0.0,top
D3,65.5065,-101.219,0.0,top
GND1,60.96,-96.52,270.0,bottom
INPUT1,50.8,-52.07,0.0,bottom
OUTPUT1,73.66,-50.8,0.0,bottom
R10,66.294,-106.299,270.0,top
R3,62.355,-73.152,0.0,top
R4,62.355,-69.215,0.0,top
R5,62.355,-91.186,0.0,top
R6,62.355,-87.757,0.0,top
R7,59.053,-53.594,180.0,top
R8,58.037,-105.664,0.0,top
R9,58.039,-107.315,0.0,top
RV1,54.483,-69.4808,0.0,top
RV2,69.85,-69.56,0.0,top
RV3,54.61,-87.975,0.0,top
RV4,69.85,-87.975,0.0,top
SW1,72.145,-100.287,0.0,top
U1,64.59,-56.75,0.0,top
V_SUPPLY1,60.96,-50.8,270.0,bottom
