Designator,Mid X,Mid Y,Rotation,Layer
C1,64.77,-57.355,90.0,top
C2,55.372,-85.852,90.0,top
GND1,60.96,-96.52,270.0,bottom
INPUT1,50.8,-50.8,0.0,top
OUTPUT1,73.66,-50.8,0.0,top
R1,64.895,-54.5084,0.0,top
R10,71.884,-81.026,0.0,top
R11,66.294,-85.471,0.0,top
R12,66.294,-86.614,180.0,top
R17,55.37,-58.42,180.0,top
R2,62.994,-53.848,0.0,top
R3,60.579,-77.216,0.0,top
R4,63.498,-77.216,0.0,top
R5,56.896,-53.977,90.0,top
R6,56.513,-55.626,180.0,top
R7,58.672,-53.977,90.0,top
R8,68.324,-85.979,90.0,top
RV1,54.61,-70.195,90.0,top
RV2,69.85,-70.195,90.0,top
U1,59.9,-57.36,180.0,top
U3,60.833,-85.598,90.0,top
V_SUPPLY1,60.96,-50.8,270.0,bottom
