Designator,Footprint,Quantity,Value,LCSC Part #
C1,1206,1,100uf,
"CONFIG1, GND1, V_SUPPLY1",Power_Connector,3,Conn_01x05_Pin,
"D1, D100, D11, D13, D15, D4, D6, D8",0603,8,LED,
"D10, D12, D14, D16, D2, D3, D5, D7",SOT-23,8,SS8050,
J1,Jack_3.5mm_QingPu_WQP-PJ366ST_Vertical,1,MIDI_IN,
OUTPUT1,PinSocket_1x08_P2.54mm_Vertical,1,GATE_OUT,
OUTPUT2,PinSocket_1x08_P2.54mm_Vertical,1,MIDI_OUT,
R1,0402,1,4.7k,
"R10, R11, R12, R13, R14, R15, R17, R19, R2, R21, R22, R24, R25, R27, R28, R30, R31, R33, R4, R44, R6, R7, R8, R9",0402,24,1k,
"R16, R20, R23, R26, R29, R3, R32, R5",0402,8,10k,
U1,VQFN-20-1EP_3x3mm_P0.4mm_EP1.7x1.7mm,1,ATtiny1616-M,
