Designator,Mid X,Mid Y,Rotation,Layer
C1,53.975,-58.977,270.0,top
C2,62.2808,-99.8702,0.0,top
CONFIG1,74.93,-98.425,180.0,bottom
D1,64.6175,-72.1675,0.0,top
D10,50.3685,-84.1055,180.0,top
D100,64.553184,-69.750749,0.0,top
D11,64.6175,-82.3275,0.0,top
D12,57.100637,-86.016925,180.0,top
D13,64.6175,-84.8675,0.0,top
D14,50.5305,-90.2955,180.0,top
D15,64.6175,-87.4075,0.0,top
D16,57.2325,-92.297,180.0,top
D2,50.4675,-72.1675,180.0,top
D3,57.0505,-73.3105,180.0,top
D4,64.6175,-74.7075,0.0,top
D5,50.3705,-78.2305,180.0,top
D6,64.6175,-77.1205,0.0,top
D7,57.1035,-79.6605,180.0,top
D8,64.6175,-79.7875,0.0,top
D9,67.9958,-104.9716,90.0,top
GND1,60.96,-96.52,270.0,bottom
J1,63.315,-59.055,90.0,top
OUTPUT1,68.58,-78.5175,0.0,top
OUTPUT2,71.12,-78.5175,0.0,top
R1,68.705,-100.33,0.0,top
R10,74.039,-79.629,180.0,top
R11,74.041,-82.296,180.0,top
R12,74.041,-84.836,180.0,top
R13,74.041,-87.503,180.0,top
R14,55.958,-70.8975,0.0,top
R15,53.086,-77.4705,90.0,top
R16,51.433,-75.8175,0.0,top
R17,49.278,-75.8175,0.0,top
R18,70.9148,-107.0356,180.0,top
R19,59.819,-78.9005,90.0,top
R2,59.766,-72.5505,90.0,top
R20,58.166,-77.2475,0.0,top
R21,56.011,-77.2475,0.0,top
R22,53.084,-83.3455,90.0,top
R23,51.431,-81.6925,0.0,top
R24,49.276,-81.6925,0.0,top
R25,59.816137,-85.256925,90.0,top
R26,58.163137,-83.603925,0.0,top
R27,56.008137,-83.603925,0.0,top
R28,53.246,-89.5355,90.0,top
R29,51.593,-87.8825,0.0,top
R3,58.113,-70.8975,0.0,top
R30,49.438,-87.8825,0.0,top
R31,59.948,-91.537,90.0,top
R32,58.295,-89.884,0.0,top
R33,56.14,-89.884,0.0,top
R34,62.2788,-101.3206,0.0,top
R4,53.183,-71.4075,90.0,top
R44,49.276,-69.723,0.0,top
R5,51.53,-69.7545,0.0,top
R6,74.039,-69.215,180.0,top
R7,74.039,-72.136,180.0,top
R8,74.041,-74.676,180.0,top
R9,74.041,-77.089,180.0,top
U1,50.717,-62.909,180.0,top
U2,53.0352,-103.5558,180.0,top
V_SUPPLY1,60.96,-50.8,270.0,bottom
