Designator,Mid X,Mid Y,Rotation,Layer
C1,58.937,-57.634,270.0,top
C2,52.665,-61.533,180.0,top
C3,74.704,-73.279,0.0,top
C4,50.955,-71.755,0.0,top
C5,72.39,-71.882,0.0,top
C6,72.39,-73.279,0.0,top
GND1,60.96,-96.52,270.0,bottom
INPUT1,50.8,-50.8,0.0,top
OUTPUT1,73.66,-50.8,0.0,top
R1,62.609,-54.737,180.0,top
R2,67.056,-56.898,90.0,top
R3,62.357,-80.647,270.0,top
R4,62.357,-83.439,270.0,top
R5,51.179,-73.152,0.0,top
R6,49.139,-61.533,180.0,top
R7,73.404,-75.565,180.0,top
R8,72.898,-77.724,180.0,top
RV1,62.23,-69.56,90.0,top
RV2,54.61,-86.705,90.0,top
RV3,69.85,-86.705,90.0,top
U1,63.71,-57.702,0.0,top
U2,51.054,-67.31,180.0,top
U3,73.14,-67.375,180.0,top
V_SUPPLY1,60.96,-50.8,270.0,bottom
