Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0402,2,10nf,
"C3, C4, C5",0402,3,0.1uf,
"GND1, V_SUPPLY1",Power_Connector,2,Conn_01x05_Pin,
"INPUT1, OUTPUT1",PinSocket_1x05_P2.54mm_Vertical,2,Conn_01x05_Socket,
"R1, R11, R12",0402,3,51k,
"R10, R14, R3, R4, R5, R9",0402,6,1k,
R13,0402,1,100k,
"R15, R16",0402,2,1M,
R17,0402,1,5.1k,
R2,0402,1,22k,
"R6, R7, R8",0402,3,10k,
RV1,Potentiometer_RV09,1,500k,
RV2,Potentiometer_RV09,1,1M,
RV3,Potentiometer_RV09,1,50k,
"U1, U2",VTL5C,2,VTL5C,
"U3, U4, U5",SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm,3,MCP6002-xSN,
