Designator,Mid X,Mid Y,Rotation,Layer
C1,71.656,-93.98,180.0,top
C2,50.574,-93.853,0.0,top
C3,67.818,-53.848,0.0,top
C4,55.499,-91.722,270.0,top
C5,69.596,-83.947,180.0,top
GND1,60.96,-96.52,270.0,bottom
INPUT1,50.8,-50.8,0.0,top
OUTPUT1,73.66,-50.8,0.0,top
R1,53.846,-81.915,0.0,top
R10,50.802,-75.819,180.0,top
R11,74.422,-83.947,0.0,top
R12,72.009,-83.947,0.0,top
R13,56.64,-54.102,0.0,top
R14,56.64,-56.388,0.0,top
R15,67.816,-55.118,0.0,top
R16,67.816,-58.166,180.0,top
R17,67.816,-56.642,180.0,top
R2,50.163,-81.915,180.0,top
R3,53.846,-93.853,0.0,top
R4,53.848,-83.566,0.0,top
R5,74.42,-93.98,0.0,top
R6,72.896,-96.647,180.0,top
R7,50.163,-83.566,0.0,top
R8,70.991,-81.661,180.0,top
R9,53.338,-75.819,180.0,top
RV1,54.584,-67.398,0.0,top
RV2,62.103,-84.162,0.0,top
RV3,70.13,-67.398,0.0,top
U1,71.882,-73.406,0.0,bottom
U2,52.451,-73.406,0.0,bottom
U3,73.025,-88.9,0.0,top
U4,51.816,-88.9,180.0,top
U5,61.911,-56.007,270.0,top
V_SUPPLY1,60.96,-50.8,270.0,bottom
