Designator,Mid X,Mid Y,Rotation,Layer
5V1,60.96,-50.8,270.0,bottom
C1,69.088,-94.841,270.0,top
C2,66.195,-60.325,180.0,top
C3,52.352,-58.801,0.0,top
GND1,60.96,-96.52,270.0,bottom
INPUT1,50.8,-50.8,0.0,top
OUTPUT1,73.66,-50.8,0.0,top
R1,52.324,-75.565,180.0,top
R10,71.63,-90.424,180.0,top
R2,70.205,-102.867,180.0,top
R3,74.928,-102.87,180.0,top
R4,72.515,-102.87,180.0,top
R5,63.373,-100.965,180.0,top
R6,60.327,-100.965,180.0,top
R7,72.1125,-75.565,0.0,top
R8,69.342,-90.424,180.0,top
R9,74.041,-90.424,180.0,top
RV1,62.23,-69.56,90.0,top
RV2,62.23,-86.451,90.0,top
U1,52.705,-75.565,0.0,bottom
U2,72.505,-96.328,0.0,top
U3,71.755,-75.565,0.0,bottom
U4,66.61,-57.15,270.0,top
U5,57.72,-57.15,270.0,top
