Designator,Mid X,Mid Y,Rotation,Layer
5V1,60.96,-50.8,270.0,bottom
C1,50.165,-44.45,0.0,top
C10,57.305,-85.725,0.0,top
C11,75.085,-93.345,180.0,top
C2,64.77,-86.88,90.0,top
C3,64.135,-89.42,270.0,top
C4,50.8,-46.835,90.0,top
C5,53.34,-46.835,90.0,top
C6,55.88,-46.835,90.0,top
C7,50.8,-49.375,90.0,top
C8,53.34,-49.375,90.0,top
C9,51.12,-52.705,180.0,top
GND1,60.96,-96.52,270.0,bottom
INPUT1,60.96,-57.125,90.0,top
INPUT2,60.96,-59.665,90.0,top
OUTPUT2,73.66,-50.8,0.0,top
R1,74.166,-95.885,180.0,top
R10,66.8,-92.48,0.0,top
R11,67.31,-86.765,90.0,top
R12,66.8,-89.94,0.0,top
R13,69.725,-85.61,0.0,top
R2,71.12,-95.885,180.0,top
R3,50.165,-89.41,90.0,top
R4,49.655,-86.995,0.0,top
R5,54.735,-93.345,180.0,top
R6,49.655,-92.71,0.0,top
R7,60.325,-87.505,90.0,top
R8,59.815,-89.535,180.0,top
R9,59.69,-92.585,270.0,top
RV1,54.61,-75.275,90.0,top
RV2,69.85,-75.275,90.0,top
U1,72.325,-89.42,270.0,top
U2,54.675,-89.535,270.0,top
