Designator,Mid X,Mid Y,Rotation,Layer
C1,38.326,-51.816,180.0,top
C10,47.782,-59.436,180.0,top
C11,47.752,-57.15,180.0,top
C12,39.906,-39.878,0.0,top
C13,41.938,-41.148,0.0,top
C14,46.482,-40.894,0.0,top
C15,46.51,-43.434,0.0,top
C16,43.335,-43.307,0.0,top
C17,42.799,-44.93,90.0,top
C18,44.351,-46.482,180.0,top
C19,44.351,-45.466,180.0,top
C2,38.326,-52.832,180.0,top
C20,44.45,-54.582,90.0,top
C3,39.878,-53.566,270.0,top
C4,46.284,-47.244,0.0,top
C5,46.228,-46.228,0.0,top
C6,47.47,-48.768,0.0,top
C7,47.47,-49.784,0.0,top
C8,47.78,-62.992,180.0,top
C9,47.752,-61.722,180.0,top
J1,35.56,-52.07,0.0,top
J2,50.8,-52.07,0.0,top
R1,38.352,-48.26,0.0,top
R10,47.754,-58.42,0.0,top
R11,47.75,-56.134,0.0,top
R2,38.352,-45.72,0.0,top
R3,38.352,-50.8,0.0,top
R4,38.352,-56.134,0.0,top
R5,38.352,-58.674,0.0,top
R6,38.352,-57.404,0.0,top
R7,38.354,-59.944,0.0,top
R8,47.752,-64.008,0.0,top
R9,47.722,-60.706,0.0,top
U1,43.18,-50.615,135.0,top
