Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C4",0402,2,0.1uf,
C2,0603,1,22uf,
C20,0805,1,10nf,
C3,0402,1,1uf,
"GND1, V_SUPPLY1",Power_Connector,2,Conn_01x05_Pin,
"INPUT1, OUTPUT1",PinSocket_1x08_P2.54mm_Vertical,2,Conn_01x08_Socket,
INPUT2,PinSocket_1x02_P2.54mm_Vertical,1,Conn_01x02_Socket,
J5,HRO-TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_14P,
"R11, R4",0603,2,5.1k,
R3,0402,1,10k,
"SW1, SW2",K2-1808SN-A4SW-01,2,K2-1808SN-A4SW-01,
U1,ESP32-S3-WROOM-1U,1,ESP32-S3-WROOM-1U-N16R8,
