Designator,Mid X,Mid Y,Rotation,Layer
C1,57.305,-53.34,0.0,top
C2,54.089,-53.34,180.0,top
C20,75.438,-51.054,180.0,top
C3,48.796,-47.244,0.0,top
C4,48.796,-48.514,0.0,top
GND1,60.96,-96.52,270.0,bottom
INPUT1,49.276,-65.024,0.0,bottom
INPUT2,49.276,-78.994,0.0,bottom
J5,71.882,-40.619,180.0,top
OUTPUT1,75.184,-65.024,0.0,bottom
R11,64.707,-47.752,0.0,top
R3,52.07,-47.754,90.0,top
R4,72.644,-52.133,270.0,top
SW1,56.124,-42.987,0.0,top
SW2,50.292,-42.926,0.0,top
U1,62.37,-64.29,0.0,top
V_SUPPLY1,60.96,-50.8,270.0,bottom
