Designator,Mid X,Mid Y,Rotation,Layer
C10,67.1576,-77.1932,270.0,top
C11,70.965,-70.739,0.0,top
C12,67.183,-64.548,90.0,top
C13,59.944,-73.914,180.0,top
C14,71.3512,-71.755,0.0,top
C15,62.512,-66.167,180.0,top
C16,62.512,-65.151,180.0,top
C17,69.624,-76.2,0.0,top
C18,63.782,-76.934,270.0,top
C19,62.677,-53.975,0.0,top
C2,57.94,-76.835,0.0,top
C20,65.913,-43.749,90.0,top
C3,67.0586,-78.613,0.0,top
C4,64.6964,-78.5876,180.0,top
C6,69.843,-65.084,0.0,top
C7,69.843,-63.814,0.0,top
C8,59.464,-70.993,180.0,top
C9,70.894,-66.294,0.0,top
D1,56.5175,-84.902,0.0,top
GND1,60.96,-96.52,270.0,bottom
J1,49.403,-64.77,0.0,top
J2,74.93,-64.77,0.0,top
J5,72.136,-40.619,180.0,top
L1,69.947,-61.401,0.0,top
R11,64.072,-48.26,0.0,top
R2,65.8622,-77.1378,270.0,top
R3,60.008,-48.26,180.0,top
R4,65.532,-87.632,90.0,top
R5,68.199,-64.578,90.0,top
R6,61.821,-57.467,90.0,top
R7,63.119,-62.609,270.0,top
R8,64.262,-62.609,270.0,top
R9,52.606,-87.317,90.0,top
SW1,69.215,-87.63,180.0,top
SW2,56.308,-87.907,0.0,top
SW3,58.265,-57.447,180.0,top
U1,65.6675,-71.12,0.0,top
U2,55.6125,-71.12,180.0,top
V_SUPPLY1,60.96,-50.8,270.0,bottom
Y1,65.7725,-81.28,180.0,top
