Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3",0402,2,0.1uf,
C2,0805,1,10nf,
C4,1206,1,100uf,
C5,0402,1,100nf,
"D1, D2",0603,2,LED,
"GND1, NC1",PinHeader_1x05_P2.54mm_Vertical,2,Conn_01x05_Pin,
J2,HRO-TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_14P,
OUTPUT1,PinSocket_1x05_P2.54mm_Vertical,1,Conn_01x05_Socket,
"R1, R2, R6, R7",0603,4,1k,
"R3, R4",0603,2,5.1k,
R5,0603,1,4.7k,
R8,0402,1,100k,
R9,0402,1,330,
U1,SOP-8_3.9x4.9mm_P1.27mm,1,CH340N,
U2,VQFN-20-1EP_3x3mm_P0.4mm_EP1.7x1.7mm,1,ATtiny1616-M,
