Designator,Mid X,Mid Y,Rotation,Layer
C1,216.14,-51.181,180.0,top
C2,200.616,-56.942,270.0,top
C3,216.14,-44.196,0.0,top
C4,211.032,-55.323,270.0,top
C5,209.042,-54.638,270.0,top
D1,206.331,-43.16,0.0,top
D2,228.6,-52.6795,90.0,top
GND1,226.06,-50.8,0.0,bottom
J2,199.315,-49.51,270.0,top
NC1,223.52,-50.8,0.0,bottom
OUTPUT1,231.14,-50.8,0.0,top
R1,219.351,-49.403,0.0,top
R2,219.224,-46.609,0.0,top
R3,205.124,-55.987,0.0,top
R4,205.125,-58.019,0.0,top
R5,219.71,-54.673,270.0,top
R6,202.712,-43.16,180.0,top
R7,228.6,-55.69,270.0,top
R8,230.884,-58.166,180.0,top
R9,214.882,-43.18,180.0,top
U1,213.445,-47.752,270.0,top
U2,214.895,-55.372,0.0,top
