Designator,Mid X,Mid Y,Layer,Rotation
INPUT1,-11.430,24.130,top,270
OUTPUT1,11.430,24.130,top,270
V_SUPPLY1,-1.270,24.130,top,0
GND1,-1.270,-21.590,top,0
R1,-12.600,15.500,top,0
R2,-10.300,15.500,top,0
C1,3.500,21.500,top,0
U1,0.000,17.150,top,270
R8,-5.000,15.600,top,0
R7,-5.000,18.500,top,0
RV1,-0.127,-12.282,top,0
R3,5.800,15.400,top,0
R4,5.300,17.300,top,90
RV2,-6.707,4.198,top,0
D1,-11.200,-7.000,top,0
D2,-11.200,-12.600,top,0
RV3,6.983,4.198,top,0
D3,10.600,-7.000,top,0
D4,10.500,-12.600,top,0
R5,5.800,19.200,top,0
D6,-4.600,-26.400,top,0
D7,4.800,-26.500,top,0
R6,7.600,-23.600,top,0
